Provider Org Name,rate_18_plus,rate_52_plus,rate_78_plus,Total
GEORGE ELIOT HOSPITAL NHS TRUST,0.36879025073783933,0.027160115104041524,0.0001227832430906822,348.56944444444446
SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,0.39815140717844,0.027150447826967985,0.0037362407564872514,713.6626506024096
KINGSTON AND RICHMOND NHS FOUNDATION TRUST,0.41588351405121793,0.02672766249818175,0.0,674.6954022988506
NEW HALL HOSPITAL,0.27816686398899754,0.0262346259875296,0.004169843089131735,138.0
ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,0.3564528518790016,0.02559047166806929,0.0,530.5572139303482
UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,0.39700556142089843,0.024585547754551237,0.0002793653898580891,238.61219512195123
THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,0.3177774484845046,0.02453008532277013,1.9454887699845855e-05,446.3955637707948
BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUNDATION TRUST,0.3560156919259973,0.023889438991669884,0.006012120937912656,1395.2592592592594
HOMERTON HEALTHCARE NHS FOUNDATION TRUST,0.37006074753592383,0.023878666962188204,0.0007123615120697309,478.89375
GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,0.3651520544499589,0.023715085222581558,0.00022532812161726764,315.858774662513
RIVERS HOSPITAL,0.2886948911693833,0.023666035782534022,0.0,183.94736842105263
MOUNT STUART HOSPITAL,0.35575076431714275,0.02355026141249544,0.0,287.9
SPIRE MANCHESTER HOSPITAL,0.5304061581839002,0.02352919645273209,0.0,62.111111111111114
UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,0.3483283224900499,0.02175317271216635,0.0,578.0985576923077
PARK HOSPITAL,0.25653339051268453,0.021269898208769334,0.002020743245383735,130.88888888888889
SUSSEX COMMUNITY NHS FOUNDATION TRUST,0.43294521926647145,0.02052807228572815,0.001638684113150483,2804.2
IMPERIAL COLLEGE HEALTHCARE NHS TRUST,0.362810443093778,0.020057712084459663,0.002809656217978368,430.4737793851718
ANGLIA COMMUNITY EYE SERVICES FAKENHAM,0.08261831234988255,0.019826325652598516,0.013333333333333334,90.33333333333333
BEAUMONT HOSPITAL,0.3555957502491004,0.0190851069668159,0.0,122.45161290322581
SPIRE CLARE PARK HOSPITAL,0.5579368746905538,0.01885952706860997,0.0,63.6
ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,0.4288714717258774,0.01845769944889388,0.0013293806188312692,803.6551724137931
SPIRE HARPENDEN HOSPITAL,0.29069538571597653,0.018414301747635083,0.0025653358986692317,64.06060606060606
CLIFTON PARK HOSPITAL,0.4078545532169605,0.018241197996767405,0.0,184.45
SAXON CLINIC,0.49328734341977315,0.01793871656817061,0.00017832709001592607,72.29166666666667
ST EDMUNDS HOSPITAL,0.4279831860400346,0.017759244479640533,0.0,51.37931034482759
SPIRE NORWICH HOSPITAL,0.21431730054950662,0.017700817700817703,0.007407407407407408,182.55555555555554
LIVERPOOL HEART AND CHEST HOSPITAL NHS FOUNDATION TRUST,0.3541115697921118,0.017595467504584014,0.0,102.38888888888889
SPIRE LITTLE ASTON HOSPITAL,0.3914640754853955,0.017587325316912768,0.0,84.28205128205128
ISLE OF WIGHT NHS TRUST,0.34609750688455576,0.017479653778916394,0.0,630.560606060606
NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,0.29805450998980965,0.017449441762981414,0.0,610.4375
ROYAL CORNWALL HOSPITALS NHS TRUST,0.31031896107907697,0.0173705134687131,0.0001268470199723763,1462.6463414634147
"NUFFIELD HEALTH, PLYMOUTH HOSPITAL",0.37027732344135417,0.017341915641243953,0.0,92.24324324324324
SPIRE HARTSWOOD HOSPITAL,0.4514613764746098,0.01692219067161228,0.004017066364644631,81.45833333333333
UNITED LINCOLNSHIRE TEACHING HOSPITALS NHS TRUST,0.4652886024403071,0.016897521040906163,0.0,1142.8846153846155
PHOENIX PUBLIC HEALTH LTD,0.11474089635854341,0.016281512605042014,0.0,14.5
WINFIELD HOSPITAL,0.3326887921597087,0.016274220144084216,0.0,148.0952380952381
BARNSLEY HOSPITAL NHS FOUNDATION TRUST,0.35873926522899724,0.0159058883140457,0.0,408.10625
THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,0.4308666186432764,0.015878360111813077,1.8766988842338534e-05,739.25
THE HORDER CENTRE - ST JOHNS ROAD,0.4414471757425353,0.01584219815941069,0.004022981366608413,152.58333333333334
HUDDERSFIELD PRIVATE HOSPITAL,0.13341872061871646,0.015518726703224236,0.0,77.97058823529412
SLOANE HOSPITAL,0.2156169264634842,0.015493738920653673,0.0014126036429911771,102.6086956521739
SPIRE ALEXANDRA HOSPITAL,0.28139043125206,0.01529721130231183,0.0005427558706247232,194.8
NEWMEDICA - BRIGG - RIVERSIDE SURGERY,0.3524610523886473,0.015257352941176472,0.0,101.875
ST MICHAEL'S CLINIC LIMITED,0.49826985810635016,0.014987892008725759,0.0,1006.5
SPIRE METHLEY PARK HOSPITAL,0.2973298389505557,0.014709712751879647,0.005978821391007771,88.88888888888889
SALISBURY NHS FOUNDATION TRUST,0.348380054394513,0.014410318473252077,5.915705759992155e-05,319.704
SPIRE GATWICK PARK HOSPITAL,0.41237640705664746,0.014371837506468043,0.0,114.06896551724138
SPIRE PARKWAY HOSPITAL,0.3256848806419581,0.014140838314136915,8.12260795526957e-05,145.95652173913044
SPIRE ST ANTHONY'S HOSPITAL,0.17186310790599096,0.013546746623311857,0.002750252780586451,89.34782608695652
SPIRE FYLDE COAST HOSPITAL,0.37984638086449357,0.01308097757996007,0.0002844555119241452,221.18867924528303
NEWMEDICA - NORTHAMPTON,0.14043345937328247,0.013020924916476174,0.009090909090909092,193.27272727272728
NEWMEDICA - GLOUCESTER (ASPEN MEDICAL CENTRE),0.2885235732009926,0.012903225806451613,0.0,123.0
